Degree,City,University,English as a Second Language,Agriculture and Related Technology,Aviation and Related Technology,Business and Administration Studies,Clerical and Administrative Support,"Communications, Journalism, and Related Studies",Computer and Information Technology,Education and Library Studies,"Engineering, Architecture, and Related Studies",Engineering and Science Technologies,"Environment, Forestry, and Related Studies",Fine Arts and Performing Arts,General Studies,"HCMSHealth Care, Medical Studies, and Technologies",Humanities and Languages,Mathematics,"Personal, Home, and Food Studies",Physical Education and Recreation,Religious Studies,Sciences,"Social Sciences, Law, and Interdisciplinary Studies","Social, Community, and Protective Services"
applied,Lloydminster,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,X,X,X,X,,X,X,X
applied,Vermillion ,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,,,,X,,,,X
applied,Lethbridge ,Lethbridge College ,X,X,,X,X,X,X,X,X,X,X,,X,X,,,X,X,,,,
applied,Edmonton,MacEwan University,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
applied,Medicine Hat ,Medicine Hat College ,X,X,,X,X,X,X,X,X,,X,X,X,X,,,X,X,,,,X
applied,Calgary ,Mount Royal University ,,,,,,,,,,,,,,X,X,,X,X,,X,X,X
applied,Edmonton,Northern Alberta Institute of Technology,X,X,,X,X,X,X,,X,X,X,,,X,,,X,,,,X,
applied,Olds,Olds College ,,X,,X,X,,,,,,X,,X,X,X,X,X,X,X,X,X,X
applied,Red Deer ,Red Deer College ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,X
applied,Calgary ,Southern Alberta Institute of Technology,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X
baccalaureate,Calgary ,Alberta College of Art + Design ,,,,,,X,,,,,,X,,X,X,X,,,,X,X,X
baccalaureate,Calgary ,Ambrose University ,,,,X,,,,X,,,,X,X,X,,,,,,,,X
baccalaureate,Athabasca,Athabasca University,,X,,,X,,X,,,,,,,X,X,X,X,X,,X,X,X
baccalaureate,LaCombe ,Burman University ,,,,X,,,,X,,,X,X,X,X,X,,X,X,,X,X,X
baccalaureate,Edmonton,Concordia University of Edmonton,X,,,X,,,X,X,,,X,X,X,X,,,X,,,,,X
baccalaureate,Edmonton,MacEwan University,X,,X,X,X,X,X,X,X,X,,X,X,X,,,X,,,X,X,X
baccalaureate,Calgary ,Mount Royal University ,X,,X,X,X,X,X,X,,,X,X,X,X,,,X,,,X,X,X
baccalaureate,Edmonton,Northern Alberta Institute of Technology,X,X,,X,X,X,X,,X,X,X,,,X,X,X,,X,X,X,X,X
baccalaureate,Calgary ,Southern Alberta Institute of Technology,X,,X,X,X,X,X,X,X,X,X,X,,,,,X,,,,,
baccalaureate,Calgary ,St Mary´s University ,,,,,,,,X,,,,,X,X,,,X,X,,X,X,X
baccalaureate,Edmonton,The King’s University,,X,,X,,X,X,X,X,,X,X,,X,X,X,,,,X,X,X
baccalaureate,Edmonton,University of Alberta,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,X
baccalaureate,Calgary ,University of Calgary ,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
baccalaureate,Lethbridge ,University of Lethbridge ,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
certificate,Athabasca,Athabasca University,X,,,X,X,X,X,X,X,,,,X,X,,,,X,,,,X
certificate,Calgary ,Bow Valley College,X,,,X,X,X,,X,X,,,,,X,,,X,X,,,,
certificate,Grande Prairie,Grande Prairie Regional College ,,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
certificate,Fort McMurray ,Keyano College ,X,X,,X,X,X,,X,X,X,X,X,,X,,,X,X,,,,X
certificate,Lloydminster,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,X,,X,X,,X,X,X
certificate,Vermillion ,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,,,X,,,,X,
certificate,Lethbridge ,Lethbridge College ,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X
certificate,Edmonton,MacEwan University,X,,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,,,X,X
certificate,Medicine Hat ,Medicine Hat College ,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X
certificate,Calgary ,Mount Royal University ,X,,X,X,X,X,X,X,,,X,X,X,X,,,X,X,,X,X,X
certificate,Edmonton,NorQuest College,X,,,X,X,,,,X,,,,X,,,,X,,,,,
certificate,Edmonton,Northern Alberta Institute of Technology,X,X,,X,X,X,X,,X,X,X,,,X,X,X,,X,X,X,X,X
certificate,Grouard ,Northern Lakes College ,,,,X,X,,,X,X,X,,,X,X,,,X,,,X,X,X
certificate,Olds,Olds College ,,X,,X,X,,,,,,X,,X,X,,,X,,,X,X,X
certificate,Lac La Biche ,Portage College ,X,,,X,X,,,X,,,X,X,X,X,,,X,,,,,X
certificate,Red Deer ,Red Deer College ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,X
certificate,Calgary ,Southern Alberta Institute of Technology,X,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X
certificate,Edmonton,University of Alberta,X,X,,X,,X,X,X,X,X,X,X,X,X,,,X,X,,,,
certificate,Calgary ,University of Calgary ,X,X,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
certificate,Lethbridge ,University of Lethbridge ,X,X,,X,,X,X,X,X,X,X,X,X,,,,,,,,,
diploma,Athabasca,Athabasca University,X,,,X,X,X,X,X,X,,,,X,X,X,,X,X,,,X,X
diploma,Calgary ,Bow Valley College,X,,,X,X,X,,X,X,,,,,X,,,X,X,,X,X,X
diploma,Grande Prairie,Grande Prairie Regional College ,,X,,X,X,,X,X,X,X,X,X,X,,,,X,,,,,
diploma,Fort McMurray ,Keyano College ,X,X,,X,X,X,,X,X,X,X,X,,X,X,X,,X,X,X,X,X
diploma,Lloydminster,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,,,X,,,X,X,X
diploma,Vermillion ,Lakeland College ,,X,,X,X,,,X,X,X,X,,X,X,,,X,,,X,X,X
diploma,Lethbridge ,Lethbridge College ,X,X,,X,X,X,X,X,X,X,X,,X,,,,,,,,,
diploma,Edmonton,MacEwan University,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,X,X,
diploma,Medicine Hat ,Medicine Hat College ,X,X,,X,X,X,X,X,X,,X,X,X,X,,X,X,,,X,X,
diploma,Calgary ,Mount Royal University ,X,,X,X,X,X,X,X,,,X,X,X,X,X,,,,X,X,X,X
diploma,Edmonton,NorQuest College,X,,,X,X,,,,X,,,,X,X,,,X,X,,,,
diploma,Edmonton,Northern Alberta Institute of Technology,X,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X
diploma,Grouard ,Northern Lakes College ,,,,X,X,,,X,X,X,,,X,,X,,X,,,,,
diploma,Olds,Olds College ,,X,,X,X,,,,,,X,,X,,X,,,,X,X,X,
diploma,Lac La Biche ,Portage College ,X,,,X,X,,,X,,,X,X,X,X,X,,X,X,,X,X,X
diploma,Red Deer ,Red Deer College ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,X,
diploma,Calgary ,Southern Alberta Institute of Technology,X,,X,X,X,X,X,X,X,X,X,X,,,X,,,,X,X,X,
diploma,Edmonton,University of Alberta,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
diploma,Calgary ,University of Calgary ,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X
diploma,Lethbridge ,University of Lethbridge ,X,X,,X,,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X
doctoral,Athabasca,Athabasca University,X,,,X,X,X,X,X,X,,,,X,X,X,X,,,,X,X,X
doctoral,Edmonton,University of Alberta,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,
doctoral,Calgary ,University of Calgary ,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
doctoral,Lethbridge ,University of Lethbridge ,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
master,Athabasca,Athabasca University,X,,,X,X,X,X,X,X,,,,X,X,X,X,,X,X,X,X,X
master,Edmonton,Concordia University of Edmonton,X,,,X,,,X,X,,,X,X,X,X,X,X,,,,X,X,X
master,Edmonton,University of Alberta,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
master,Calgary ,University of Calgary ,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
master,Lethbridge ,University of Lethbridge ,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X